Evol,6.144912,50.63293,32.06468,162.433,-93.89581,-102.9459,34.43759,-113.3949,113.2476,82.17554,Static enemies,41.67822,-19.54744,-42.62395,-16.60118,-128.9269,119.3849,119.8119,-4.169206,129.8018,-100.3669,17.0899642,9.8441244,1
Evol,75.4338,30.19843,152.3427,31.37215,-53.23992,-171.7431,144.3792,30.72171,-48.91932,-43.16438,Static enemies,-50.48119,-39.50771,15.95872,-117.9568,-7.126188,63.76098,173.6741,-123.5542,4.588711,78.28043,14.738127,-0.2363147,2
Evol,91.76283,17.74294,58.17548,32.70568,97.1721,48.53381,118.2547,111.0705,172.4703,62.38582,Static enemies,97.46281,-66.30109,16.36603,-15.13026,-2.135116,-88.31866,5.128448,-107.1454,-100.3617,-163.4927,81.027416,-42.3927638,3
Evol,38.22697,137.7933,196.5664,96.40919,70.62019,80.45087,142.0106,0.6019565,-55.54311,194.5247,Static enemies,-17.72338,-13.62033,-85.34117,-172.9005,-69.38362,-30.302,-59.72881,-96.10862,35.60678,79.44135,90.16610665,-43.00603,4
Evol,134.6387,133.2543,233.3786,261.1887,92.28831,60.79337,54.79565,-124.102,-4.791114,-0.8253951,Static enemies,-205.5573,-111.4947,-118.8409,-224.9751,-233.8419,-89.98576,-49.92041,-45.1368,145.8936,13.4178,84.06191209,-92.044147,5
Evol,37.55767,-42.29243,169.0507,91.3351,95.34144,122.0678,40.01668,89.11392,37.06867,-3.080635,Static enemies,10.43487,9.053558,56.7717,-134.0739,-85.29854,-62.66588,-126.1928,-19.43789,-79.68733,-13.91949,63.6178915,-44.5015702,6
Evol,-241.6423,267.8846,183.8264,154.3685,195.5373,37.83102,-10.00436,50.92392,-22.5085,132.7618,Static enemies,28.30205,256.1198,-250.4516,-169.5636,-136.288,-181.3266,-4.952813,43.76723,-12.22374,58.79228,74.897838,-36.7824993,7
Evol,26.04492,221.3206,-39.76766,-68.4495,217.7925,82.5211,-7.035653,67.99995,-53.59422,50.50581,Static enemies,-133.8877,10.89152,-187.8158,76.67747,60.80195,-203.7552,-55.98901,28.51147,-47.77348,81.87801,49.7337847,-37.046077,8
Evol,103.8695,96.69604,104.078,32.76604,16.47123,120.036,277.0272,45.39081,-109.0027,81.83929,Static enemies,-29.66733,-86.38786,-88.88065,-69.69923,-7.663167,4.439324,-113.3932,-246.6405,-32.51153,135.6901,76.917141,-53.4714043,9
Evol,103.6135,-48.55441,59.44732,239.0092,12.19124,-90.04539,-130.463,-58.4243,111.1974,21.3669,Static enemies,-68.9494,-98.63805,55.21775,-19.05968,-226.9434,4.222836,75.8391,157.8935,79.76683,-87.21419,21.933846,-12.7864704,10
Evol,75.0068,141.8474,-17.09233,209.8361,-81.31371,195.5107,37.77831,49.30966,-24.45884,59.21186,Static enemies,27.73135,-43.58261,-133.4842,48.62397,-198.7395,112.3414,-165.0421,-26.68609,-23.309,47.90651,64.563595,-35.424027,11
Evol,294.5642,75.89474,130.3735,65.18327,202.7858,109.9216,246.1714,-42.66152,26.68146,68.14792,Static enemies,-40.17173,-300.08,-47.93412,-115.325,-88.42037,-188.3942,-74.59865,-225.9918,55.99136,-46.97776,117.706237,-107.190227,12
,,,,,,,,,,,,,,,,,,,,,,Average Evolving,Average Static,
