Evol,0,0,0,0,0,0,0,0,0,27.49358,Static enemies,-81.0793,94.58504,114.4542,-51.18134,98.7942,79.95514,52.02909,-96.78625,-43.6341,-10.99105,
Evol,0,0,0,0,0,0,0,0,0,76.95444,Static enemies,27.41071,-75.10489,-195.8921,-155.6947,-31.13895,-74.46683,-90.20359,-55.65726,122.4127,196.2936,
Evol,0,0,0,0,0,0,0,0,0,147.6249,Static enemies,-62.24417,-53.57666,-95.82777,-167.1307,89.84331,-102.9422,33.3112,-64.36749,-36.8221,-9.553551,
Evol,0,0,0,0,0,0,0,0,0,85.91239,Static enemies,-122.5704,-111.7477,58.223,-192.9765,46.43266,-139.5345,-188.9923,114.7492,-114.6202,56.21262,
Evol,0,0,0,0,0,0,0,0,0,41.31993,Static enemies,-70.97406,-40.76334,31.40053,-155.3129,165.266,-13.36314,-114.2608,-219.9463,-139.7692,18.54139,
Evol,0,0,0,0,0,0,0,0,0,-45.0238,Static enemies,2.944708,-72.19554,29.92088,141.3973,-182.6094,-101.4151,27.78726,52.98765,-108.1305,-58.79858,
Evol,0,0,0,0,0,0,0,0,0,9.332405,Static enemies,64.64721,49.13605,-102.0263,-96.5127,-4.94093,-45.10579,33.35937,163.0381,-59.01309,-38.88888,
Evol,0,0,0,0,0,0,0,0,0,113.6006,Static enemies,-19.73154,-61.06138,-3.289268,-199.6624,-35.48718,115.0383,20.13569,-10.30793,114.1268,-28.32456,
Evol,0,0,0,0,0,0,0,0,0,-109.9798,Static enemies,-95.4175,217.7012,-128.8288,-203.1048,-99.30717,-53.49774,-145.284,80.93723,-190.7616,-69.64981,
Evol,0,0,0,0,0,0,0,0,0,56.78126,Static enemies,119.3293,-26.59173,142.3259,-87.06521,-160.9743,-101.5897,-104.6304,43.05106,-59.46476,89.22463,
Evol,0,0,0,0,0,0,0,0,0,48.1301,Static enemies,-54.34936,-185.4071,-33.67814,-53.15058,41.064,-152.8474,-53.89512,-93.86617,-20.96272,-48.54476,
Evol,0,0,0,0,0,0,0,0,0,20.64111,Static enemies,-4.92743,3.681356,32.2351,65.11383,20.66187,-196.6241,-219.7628,-80.3393,78.02859,-96.95168,
